WKT,element
"POLYGON ((378989.529 4657606.129 0.0,379003.779 4657603.749 0.0,378996.439 4657593.599 0.0,378989.529 4657606.129 0.0))",113
"POLYGON ((378746.269 4657450.839 0.0,378720.379 4657467.599 0.0,378748.799 4657480.369 0.0,378746.269 4657450.839 0.0))",114
"POLYGON ((379019.019 4657578.859 0.0,379028.999 4657581.499 0.0,379027.809 4657570.999 0.0,379019.019 4657578.859 0.0))",115
"POLYGON ((378729.099 4658018.499 0.0,378744.049 4658033.479 0.0,378748.999 4658016.999 0.0,378729.099 4658018.499 0.0))",116
"POLYGON ((378748.799 4657480.369 0.0,378762.519 4657465.269 0.0,378746.269 4657450.839 0.0,378748.799 4657480.369 0.0))",117
"POLYGON ((378762.519 4657465.269 0.0,378748.799 4657480.369 0.0,378773.849 4657483.069 0.0,378762.519 4657465.269 0.0))",118
"POLYGON ((378762.519 4657465.269 0.0,378769.119 4657445.359 0.0,378746.269 4657450.839 0.0,378762.519 4657465.269 0.0))",119
"POLYGON ((378474.329 4656824.179 0.0,378473.689 4656795.729 0.0,378447.409 4656806.139 0.0,378474.329 4656824.179 0.0))",120
"POLYGON ((378473.689 4656795.729 0.0,378448.929 4656784.049 0.0,378447.409 4656806.139 0.0,378473.689 4656795.729 0.0))",121
"POLYGON ((378866.909 4657551.009 0.0,378883.029 4657559.829 0.0,378883.989 4657543.469 0.0,378866.909 4657551.009 0.0))",122
"POLYGON ((378745.919 4658144.239 0.0,378731.429 4658128.619 0.0,378728.639 4658152.749 0.0,378745.919 4658144.239 0.0))",123
"POLYGON ((378745.919 4658144.239 0.0,378756.449 4658152.129 0.0,378758.079 4658137.259 0.0,378745.919 4658144.239 0.0))",124
"POLYGON ((378311.399 4656686.329 0.0,378289.729 4656685.339 0.0,378304.459 4656711.319 0.0,378311.399 4656686.329 0.0))",125
"POLYGON ((378311.399 4656686.329 0.0,378333.249 4656698.329 0.0,378330.659 4656674.259 0.0,378311.399 4656686.329 0.0))",126
"POLYGON ((378333.249 4656698.329 0.0,378311.399 4656686.329 0.0,378304.459 4656711.319 0.0,378333.249 4656698.329 0.0))",127
"POLYGON ((378219.829 4656553.599 0.0,378233.919 4656530.119 0.0,378206.209 4656527.039 0.0,378219.829 4656553.599 0.0))",128
"POLYGON ((378426.319 4656809.089 0.0,378402.709 4656799.739 0.0,378414.079 4656823.079 0.0,378426.319 4656809.089 0.0))",129
"POLYGON ((378402.709 4656799.739 0.0,378426.319 4656809.089 0.0,378419.139 4656780.519 0.0,378402.709 4656799.739 0.0))",130
"POLYGON ((378874.019 4657668.019 0.0,378862.909 4657655.999 0.0,378858.909 4657666.499 0.0,378874.019 4657668.019 0.0))",131
"POLYGON ((381110.159 4660118.029 0.0,381165.119 4660387.069 0.0,381318.309 4660193.919 0.0,381110.159 4660118.029 0.0))",132
"POLYGON ((378747.349 4658165.739 0.0,378747.069 4658188.859 0.0,378767.689 4658178.499 0.0,378747.349 4658165.739 0.0))",133
"POLYGON ((378766.229 4658033.959 0.0,378774.689 4658015.999 0.0,378748.999 4658016.999 0.0,378766.229 4658033.959 0.0))",134
"POLYGON ((378729.099 4658018.499 0.0,378721.049 4658035.779 0.0,378744.049 4658033.479 0.0,378729.099 4658018.499 0.0))",135
"POLYGON ((378959.609 4657624.229 0.0,378943.689 4657627.499 0.0,378950.809 4657639.999 0.0,378959.609 4657624.229 0.0))",136
"POLYGON ((378358.099 4656660.679 0.0,378349.739 4656683.289 0.0,378375.439 4656684.569 0.0,378358.099 4656660.679 0.0))",137
"POLYGON ((378333.249 4656698.329 0.0,378349.739 4656683.289 0.0,378330.659 4656674.259 0.0,378333.249 4656698.329 0.0))",138
"POLYGON ((378349.739 4656683.289 0.0,378358.099 4656660.679 0.0,378330.659 4656674.259 0.0,378349.739 4656683.289 0.0))",139
"POLYGON ((378752.499 4658092.999 0.0,378761.009 4658113.159 0.0,378771.379 4658101.979 0.0,378752.499 4658092.999 0.0))",140
"POLYGON ((378702.909 4658165.999 0.0,378699.239 4658154.109 0.0,378688.909 4658164.499 0.0,378702.909 4658165.999 0.0))",141
"POLYGON ((378699.239 4658154.109 0.0,378687.179 4658145.039 0.0,378688.909 4658164.499 0.0,378699.239 4658154.109 0.0))",142
"POLYGON ((378699.239 4658154.109 0.0,378702.909 4658165.999 0.0,378711.609 4658153.479 0.0,378699.239 4658154.109 0.0))",143
"POLYGON ((377673.973 4655692.419 0.0,377635.894 4655713.949 0.0,377665.579 4655753.209 0.0,377673.973 4655692.419 0.0))",144
"POLYGON ((378731.429 4658128.619 0.0,378718.069 4658139.689 0.0,378728.639 4658152.749 0.0,378731.429 4658128.619 0.0))",145
"POLYGON ((378702.769 4658140.159 0.0,378718.069 4658139.689 0.0,378710.879 4658124.609 0.0,378702.769 4658140.159 0.0))",146
"POLYGON ((378718.069 4658139.689 0.0,378731.429 4658128.619 0.0,378710.879 4658124.609 0.0,378718.069 4658139.689 0.0))",147
