WKT,node
"POINT (378961.819 4657574.309 0.0)",332
"POINT (378991.119 4657563.749 0.0)",333
"POINT (378975.529 4657565.969 0.0)",334
"POINT (378914.189 4657518.569 0.0)",335
"POINT (378929.779 4657519.489 0.0)",336
"POINT (378889.319 4657489.649 0.0)",337
"POINT (378901.589 4657490.249 0.0)",338
"POINT (378961.849 4657501.769 0.0)",339
"POINT (378956.799 4657529.559 0.0)",340
"POINT (379026.909 4657559.999 0.0)",341
"POINT (379001.799 4657561.949 0.0)",342
"POINT (378995.899 4657551.749 0.0)",343
"POINT (378987.409 4657543.259 0.0)",344
"POINT (378998.279 4657539.059 0.0)",345
"POINT (378973.319 4657538.109 0.0)",346
"POINT (378866.809 4657472.109 0.0)",347
"POINT (378883.469 4657474.079 0.0)",348
"POINT (378827.639 4657457.889 0.0)",349
"POINT (378810.819 4657464.289 0.0)",350
"POINT (378788.069 4657464.559 0.0)",351
"POINT (378802.619 4657450.229 0.0)",352
"POINT (378835.239 4657444.899 0.0)",353
"POINT (378865.669 4657453.589 0.0)",354
"POINT (378851.649 4657448.829 0.0)",355
"POINT (378676.529 4657461.329 0.0)",356
"POINT (378702.849 4657457.949 0.0)",357
"POINT (378720.379 4657467.599 0.0)",358
"POINT (378746.269 4657450.839 0.0)",359
"POINT (378769.119 4657445.359 0.0)",360
"POINT (378943.689 4657627.499 0.0)",361
"POINT (378959.609 4657624.229 0.0)",362
"POINT (378955.409 4657591.499 0.0)",363
"POINT (378963.559 4657609.479 0.0)",364
"POINT (378972.999 4657583.149 0.0)",365
"POINT (379027.809 4657570.999 0.0)",366
"POINT (379013.329 4657569.029 0.0)",367
"POINT (379000.109 4657572.199 0.0)",368
"POINT (378989.259 4657579.039 0.0)",369
"POINT (378660.549 4657436.089 0.0)",370
"POINT (378911.749 4657498.599 0.0)",371
"POINT (378926.939 4657504.739 0.0)",372
"POINT (378940.389 4657508.279 0.0)",373
"POINT (378956.359 4657512.849 0.0)",374
"POINT (378897.179 4657476.329 0.0)",375
"POINT (378911.769 4657480.749 0.0)",376
"POINT (378965.009 4657489.809 0.0)",377
"POINT (378968.369 4657521.749 0.0)",378
"POINT (378980.129 4657522.039 0.0)",379
"POINT (379011.219 4657550.889 0.0)",380
"POINT (379024.999 4657544.999 0.0)",381
"POINT (379023.499 4657531.999 0.0)",382
"POINT (378986.919 4657532.829 0.0)",383
"POINT (378878.439 4657457.769 0.0)",384
"POINT (378877.079 4657441.629 0.0)",385
"POINT (378893.849 4657459.809 0.0)",386
"POINT (378815.689 4657450.229 0.0)",387
"POINT (378789.619 4657441.199 0.0)",388
"POINT (378820.679 4657435.759 0.0)",389
"POINT (378835.749 4657429.489 0.0)",390
"POINT (378849.439 4657432.909 0.0)",391
"POINT (378863.679 4657438.239 0.0)",392
"POINT (378690.409 4657431.819 0.0)",393
"POINT (378722.659 4657438.349 0.0)",394
"POINT (378776.519 4657426.959 0.0)",395
"POINT (378731.039 4657415.519 0.0)",396
"POINT (378751.519 4657426.489 0.0)",397
"POINT (378950.809 4657639.999 0.0)",398
"POINT (378968.679 4657638.019 0.0)",399
"POINT (378976.949 4657619.249 0.0)",400
"POINT (378973.109 4657600.159 0.0)",401
"POINT (378983.269 4657591.599 0.0)",402
"POINT (378996.439 4657593.599 0.0)",403
"POINT (379019.019 4657578.859 0.0)",404
"POINT (379009.509 4657593.209 0.0)",405
"POINT (379028.999 4657581.499 0.0)",406
"POINT (379006.109 4657583.079 0.0)",407
"POINT (378671.589 4657414.679 0.0)",408
"POINT (378646.079 4657409.959 0.0)",409
"POINT (378925.399 4657488.069 0.0)",410
"POINT (378938.889 4657492.869 0.0)",411
"POINT (378952.249 4657497.999 0.0)",412
"POINT (378911.569 4657462.879 0.0)",413
"POINT (378925.809 4657471.449 0.0)",414
"POINT (378962.219 4657475.619 0.0)",415
"POINT (378979.929 4657490.399 0.0)",416
"POINT (378988.639 4657512.609 0.0)",417
"POINT (378973.779 4657506.419 0.0)",418
"POINT (379012.309 4657533.149 0.0)",419
"POINT (378996.319 4657524.069 0.0)",420
"POINT (378875.589 4657425.929 0.0)",421
"POINT (378888.929 4657429.649 0.0)",422
"POINT (378890.179 4657444.599 0.0)",423
"POINT (378807.709 4657430.629 0.0)",424
"POINT (378813.429 4657414.999 0.0)",425
"POINT (378792.809 4657424.019 0.0)",426
"POINT (378826.189 4657419.819 0.0)",427
"POINT (378847.849 4657417.499 0.0)",428
"POINT (378847.579 4657399.399 0.0)",429
"POINT (378876.799 4657412.239 0.0)",430
"POINT (378862.469 4657421.669 0.0)",431
"POINT (378711.469 4657412.679 0.0)",432
"POINT (378782.299 4657410.279 0.0)",433
