WKT,element
"POLYGON ((583529.606 5035297.126,583562.449 5035277.327,583551.225 5035319.576,583529.606 5035297.126))",183
"POLYGON ((583514.64 5035276.34,583529.606 5035297.126,583503.481 5035300.471,583514.64 5035276.34))",184
"POLYGON ((583562.449 5035277.327,583514.64 5035276.34,583526.696 5035231.596,583562.449 5035277.327))",185
"POLYGON ((583503.481 5035300.471,583529.606 5035297.126,583518.447 5035318.763,583503.481 5035300.471))",186
"POLYGON ((583518.447 5035318.763,583551.225 5035319.576,583530.088 5035339.966,583518.447 5035318.763))",187
"POLYGON ((583518.447 5035318.763,583529.606 5035297.126,583551.225 5035319.576,583518.447 5035318.763))",188
"POLYGON ((583551.225 5035319.576,583563.697 5035342.857,583565.36 5035356.992,583551.225 5035319.576))",189
"POLYGON ((583445.277 5035277.19,583503.481 5035300.471,583505.559 5035407.731,583445.277 5035277.19))",190
"POLYGON ((583565.36 5035356.992,583563.697 5035342.857,583578.247 5035328.878,583565.36 5035356.992))",191
"POLYGON ((583578.247 5035328.878,583563.697 5035342.857,583551.225 5035319.576,583578.247 5035328.878))",192
"POLYGON ((583578.247 5035328.878,583551.225 5035319.576,583562.449 5035277.327,583578.247 5035328.878))",193
"POLYGON ((583565.36 5035356.992,583530.088 5035339.966,583551.225 5035319.576,583565.36 5035356.992))",194
"POLYGON ((583505.559 5035407.731,583434.403 5035355.485,583445.277 5035277.19,583505.559 5035407.731))",195
"POLYGON ((583518.447 5035318.763,583530.088 5035339.966,583505.559 5035407.731,583518.447 5035318.763))",196
"POLYGON ((583435.716 5035257.65,583468.974 5035232.706,583484.357 5035260.56,583435.716 5035257.65))",197
"POLYGON ((583146.582 5035362.379,583151.079 5035345.664,583170.849 5035374.512,583146.582 5035362.379))",198
"POLYGON ((583207.892 5035398.169,583181.843 5035380.17,583204.982 5035368.652,583207.892 5035398.169))",199
"POLYGON ((583181.843 5035380.17,583170.849 5035374.512,583151.079 5035345.664,583181.843 5035380.17))",200
"POLYGON ((583204.982 5035368.652,583181.843 5035380.17,583151.079 5035345.664,583204.982 5035368.652))",201
"POLYGON ((583207.892 5035398.169,583204.982 5035368.652,583244.477 5035366.989,583207.892 5035398.169))",202
"POLYGON ((583244.477 5035366.989,583204.982 5035368.652,583227.016 5035345.37,583244.477 5035366.989))",203
"POLYGON ((583177.467 5035398.779,583170.849 5035374.512,583181.843 5035380.17,583177.467 5035398.779))",204
"POLYGON ((583181.843 5035380.17,583191.405 5035411.766,583177.467 5035398.779,583181.843 5035380.17))",205
"POLYGON ((583181.843 5035380.17,583207.892 5035398.169,583191.405 5035411.766,583181.843 5035380.17))",206
"POLYGON ((583198.746 5035450.552,583191.405 5035411.766,583207.892 5035398.169,583198.746 5035450.552))",207
"POLYGON ((583293.884 5035394.565,583267.758 5035425.607,583259.444 5035394.427,583293.884 5035394.565))",208
"POLYGON ((583293.884 5035394.565,583259.444 5035394.427,583244.477 5035366.989,583293.884 5035394.565))",209
"POLYGON ((583244.477 5035366.989,583234.85 5035291.462,583293.884 5035394.565,583244.477 5035366.989))",210
"POLYGON ((583207.892 5035398.169,583259.444 5035394.427,583267.758 5035425.607,583207.892 5035398.169))",211
"POLYGON ((583244.477 5035366.989,583259.444 5035394.427,583207.892 5035398.169,583244.477 5035366.989))",212
